epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,217.717,0.82389,0.89521,1.15269,0.94514,0.91176,0.95519,0.71295,0.9335,1.1168,1.21367,0.0008318,0.0008318,0.0008318
61,220.727,0.81786,0.89114,1.14055,0.93229,1,0.98115,0.76543,0.98889,0.98091,1.23547,0.000812,0.000812,0.000812
62,223.733,0.75916,0.84759,1.1239,0.91887,0.94118,0.97278,0.73499,1.07544,1.33392,1.35924,0.0007922,0.0007922,0.0007922
63,226.553,0.77052,0.81763,1.10474,0.79097,0.91176,0.91849,0.72003,1.12312,1.81577,1.51165,0.0007724,0.0007724,0.0007724
64,230.248,0.76235,0.78264,1.13727,0.97121,0.99226,0.99271,0.79133,0.76029,1.1365,1.1603,0.0007526,0.0007526,0.0007526
65,233.29,0.75809,0.8159,1.08368,0.94079,0.93485,0.98638,0.77706,0.83507,1.17219,1.21531,0.0007328,0.0007328,0.0007328
66,236.358,0.71681,0.76354,1.0671,0.8012,0.97059,0.92365,0.72303,1.09399,1.44125,1.4437,0.000713,0.000713,0.000713
67,239.205,0.70574,0.76645,1.07357,0.99491,1,0.995,0.84565,0.7763,0.64538,1.09779,0.0006932,0.0006932,0.0006932
68,242.824,0.73788,0.79512,1.09347,0.99249,1,0.995,0.82479,0.83573,0.68763,1.13281,0.0006734,0.0006734,0.0006734
69,246.078,0.68849,0.75724,1.03889,0.86433,0.93695,0.92152,0.76631,0.97716,1.48688,1.27125,0.0006536,0.0006536,0.0006536
70,248.819,0.71702,0.77601,1.07779,0.82311,1,0.96634,0.83991,0.74715,0.87456,1.11784,0.0006338,0.0006338,0.0006338
71,251.653,0.74214,0.77472,1.09055,0.97017,0.95685,0.98937,0.85734,0.7396,0.61018,1.06646,0.000614,0.000614,0.000614
72,254.833,0.7392,0.81149,1.09766,0.9343,0.97059,0.98848,0.81235,0.87646,0.75323,1.14137,0.0005942,0.0005942,0.0005942
73,258.507,0.70815,0.78397,1.06996,0.85955,0.9002,0.93841,0.72536,0.90118,1.11322,1.18983,0.0005744,0.0005744,0.0005744
74,261.134,0.69163,0.71262,1.05952,0.84079,0.93208,0.93243,0.7397,0.92681,1.36125,1.22799,0.0005546,0.0005546,0.0005546
75,264.079,0.69054,0.74938,1.07235,0.88849,0.93744,0.9647,0.80775,0.91072,1.36782,1.30984,0.0005348,0.0005348,0.0005348
76,266.952,0.65601,0.65568,1.02751,0.93126,0.91176,0.97867,0.80809,0.88489,1.09472,1.27172,0.000515,0.000515,0.000515
77,270.93,0.62865,0.69659,1.02347,0.91069,0.89994,0.97159,0.81614,0.81991,1.1916,1.19323,0.0004952,0.0004952,0.0004952
78,273.842,0.69091,0.71931,1.09176,0.75379,0.97059,0.90275,0.70509,0.86156,1.73793,1.2241,0.0004754,0.0004754,0.0004754
79,276.499,0.71556,0.72795,1.07567,0.85561,0.94118,0.92679,0.76849,0.69409,1.33221,1.08302,0.0004556,0.0004556,0.0004556
80,279.332,0.665,0.6869,1.03583,0.91843,0.99361,0.98432,0.82201,0.75063,0.72329,1.1089,0.0004358,0.0004358,0.0004358
81,282.657,0.64081,0.67502,1.04681,0.93639,0.97059,0.98391,0.81263,0.84925,0.76684,1.16954,0.000416,0.000416,0.000416
82,286.247,0.64618,0.69112,1.03825,0.91409,0.97059,0.97081,0.74392,1.21477,1.39588,1.47746,0.0003962,0.0003962,0.0003962
83,289.118,0.63806,0.67476,1.0355,0.94286,0.94118,0.97754,0.74672,1.45761,1.19158,1.64984,0.0003764,0.0003764,0.0003764
84,291.881,0.63095,0.677,1.00989,0.97126,0.99404,0.985,0.79804,0.93405,1.23291,1.22834,0.0003566,0.0003566,0.0003566
85,294.647,0.62811,0.6083,1.03074,0.96248,1,0.98843,0.80713,0.82574,1.08304,1.16053,0.0003368,0.0003368,0.0003368
86,298.402,0.65241,0.65357,1.05348,0.96392,1,0.991,0.8204,0.82816,1.11148,1.16567,0.000317,0.000317,0.000317
87,301.377,0.66011,0.63375,1.05684,0.94824,0.97059,0.9876,0.81283,0.90767,1.37311,1.2141,0.0002972,0.0002972,0.0002972
88,304.131,0.6005,0.61878,1.002,0.96023,0.97059,0.98985,0.81598,0.87263,1.2071,1.20032,0.0002774,0.0002774,0.0002774
