epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,385.184,0.75826,0.74282,1.09087,0.95881,0.91176,0.96714,0.83633,0.68945,1.35467,1.06479,0.0008912,0.0008912,0.0008912
58,391.75,0.67351,0.69609,1.03331,0.99482,0.97059,0.99443,0.82854,1.17434,0.66229,1.52282,0.0008714,0.0008714,0.0008714
59,398.084,0.70747,0.68113,1.04325,0.88541,0.97059,0.96617,0.77751,1.05672,0.62804,1.39592,0.0008516,0.0008516,0.0008516
60,404.655,0.69847,0.64924,1.06672,0.96293,0.97059,0.98419,0.8747,0.58813,0.91958,0.9766,0.0008318,0.0008318,0.0008318
61,411.502,0.67173,0.6478,1.05311,0.9017,0.88235,0.94146,0.81067,0.96934,0.97415,1.35278,0.000812,0.000812,0.000812
62,417.946,0.71589,0.69713,1.06083,0.87154,0.94118,0.92499,0.79457,1.45717,0.58363,1.85731,0.0007922,0.0007922,0.0007922
63,424.584,0.69583,0.64897,1.05159,0.82764,0.91176,0.90021,0.77669,0.71882,1.4897,1.13042,0.0007724,0.0007724,0.0007724
64,431.135,0.7157,0.65017,1.07787,0.97083,0.97905,0.99443,0.85397,0.80254,1.25541,1.24918,0.0007526,0.0007526,0.0007526
65,437.83,0.69808,0.65079,1.08225,0.98692,0.97059,0.99389,0.85058,1.04786,0.96163,1.41861,0.0007328,0.0007328,0.0007328
66,444.404,0.69708,0.68543,1.06278,0.99722,1,0.995,0.86439,0.81572,0.77858,1.1455,0.000713,0.000713,0.000713
67,450.753,0.72445,0.73238,1.11103,0.96965,0.93973,0.98494,0.83582,0.9599,0.77297,1.28289,0.0006932,0.0006932,0.0006932
68,457.587,0.6541,0.60594,1.02703,0.97392,0.97059,0.99443,0.85651,0.61236,1.10575,0.99156,0.0006734,0.0006734,0.0006734
69,463.471,0.64389,0.59701,1.03627,0.89642,0.76362,0.89883,0.73741,0.67363,1.67215,1.02446,0.0006536,0.0006536,0.0006536
70,470.436,0.67277,0.59487,1.0574,0.96874,0.91153,0.95249,0.80327,1.17324,0.66284,1.50916,0.0006338,0.0006338,0.0006338
71,476.44,0.65422,0.59366,1.03531,0.96758,0.97059,0.96265,0.84364,1.10875,0.70253,1.49814,0.000614,0.000614,0.000614
72,483.82,0.66341,0.62282,1.05768,0.96224,0.97059,0.96394,0.84697,0.6302,1.28019,1.02671,0.0005942,0.0005942,0.0005942
73,490.015,0.60621,0.5972,1.00724,0.94364,0.97059,0.96688,0.83633,0.58753,1.20921,0.99404,0.0005744,0.0005744,0.0005744
74,497.274,0.65925,0.61006,1.04263,1,0.99249,0.995,0.84018,1.26416,0.46155,1.68137,0.0005546,0.0005546,0.0005546
75,503.198,0.6428,0.56738,1.02017,0.97042,0.96495,0.95853,0.85057,1.113,0.55204,1.52707,0.0005348,0.0005348,0.0005348
76,510.75,0.62856,0.58659,1.00493,0.9408,0.97059,0.96714,0.85347,0.63568,1.25389,1.03468,0.000515,0.000515,0.000515
77,516.646,0.63052,0.59659,1.03247,0.95152,0.97059,0.98985,0.87322,0.61322,0.72806,0.98708,0.0004952,0.0004952,0.0004952
78,523.871,0.61577,0.53418,1.00468,0.94258,1,0.99301,0.88529,0.5334,0.53318,0.95185,0.0004754,0.0004754,0.0004754
79,529.805,0.63209,0.54546,1.01161,0.96424,0.97059,0.96759,0.84638,0.50937,1.02982,0.96099,0.0004556,0.0004556,0.0004556
80,537.049,0.61179,0.53416,1.01731,0.91543,1,0.98552,0.81714,1.01497,1.16337,1.40516,0.0004358,0.0004358,0.0004358
81,543.204,0.59426,0.53614,0.98767,0.91769,1,0.98714,0.84019,0.72762,1.36082,1.11956,0.000416,0.000416,0.000416
82,550.266,0.59651,0.5416,0.99689,0.96836,1,0.99443,0.87633,0.56813,0.53116,0.97531,0.0003962,0.0003962,0.0003962
83,556.207,0.58619,0.50635,1.00889,0.91265,0.97059,0.95032,0.80823,0.96338,0.914,1.42657,0.0003764,0.0003764,0.0003764
84,563.263,0.60537,0.53106,1.01755,0.96837,0.97059,0.97114,0.85797,0.55291,1.32404,0.97837,0.0003566,0.0003566,0.0003566
85,569.27,0.59297,0.51791,1.01726,0.94125,0.97059,0.96305,0.84255,0.51218,1.26799,0.9396,0.0003368,0.0003368,0.0003368
86,576.433,0.57425,0.52303,0.99155,0.96739,0.97059,0.9876,0.87518,0.5068,0.79535,0.92988,0.000317,0.000317,0.000317
87,582.617,0.58566,0.53063,1.00162,0.9666,0.97059,0.9777,0.85911,0.5061,1.04605,0.94361,0.0002972,0.0002972,0.0002972
88,589.877,0.59493,0.5198,1.01716,0.94098,0.97059,0.94904,0.82158,0.82069,1.06795,1.34068,0.0002774,0.0002774,0.0002774
89,595.907,0.59054,0.49864,1.00894,0.94026,0.97059,0.95407,0.83006,1.10323,0.61144,1.57795,0.0002576,0.0002576,0.0002576
90,602.988,0.55321,0.50406,0.96633,0.96736,0.97059,0.96176,0.85377,1.07788,0.53996,1.52096,0.0002378,0.0002378,0.0002378
91,611.095,0.51955,0.44451,0.97004,0.96819,0.97059,0.95853,0.85879,1.27293,0.51411,1.70769,0.000218,0.000218,0.000218
92,618.215,0.48889,0.39982,0.92981,0.96759,0.97059,0.94882,0.84249,1.16658,0.59141,1.60519,0.0001982,0.0001982,0.0001982
93,624.116,0.52598,0.43837,0.99531,0.96823,0.97059,0.95412,0.8405,1.08633,0.54185,1.54513,0.0001784,0.0001784,0.0001784
94,630.828,0.46469,0.39622,0.93818,0.96579,0.97059,0.96618,0.85909,1.1001,0.55224,1.5678,0.0001586,0.0001586,0.0001586
95,636.567,0.49752,0.40049,0.9484,0.96814,0.97059,0.97059,0.86371,1.30847,0.44143,1.78632,0.0001388,0.0001388,0.0001388
96,643.313,0.48069,0.40212,0.93771,0.96879,0.97059,0.97316,0.87404,0.88967,0.85592,1.33888,0.000119,0.000119,0.000119
97,648.99,0.48186,0.40134,0.94623,0.96887,0.97059,0.96441,0.86746,1.27833,0.44013,1.76017,9.92e-05,9.92e-05,9.92e-05
98,655.554,0.4988,0.39894,0.95593,0.96886,0.97059,0.955,0.84189,1.13962,0.53382,1.57742,7.94e-05,7.94e-05,7.94e-05
99,661.442,0.45336,0.375,0.9264,0.96858,0.97059,0.95147,0.83169,1.1324,0.52255,1.57269,5.96e-05,5.96e-05,5.96e-05
100,667.941,0.48857,0.38769,0.96526,0.96823,0.97059,0.95147,0.84148,1.1178,0.5199,1.56309,3.98e-05,3.98e-05,3.98e-05
